interaction_key,condition,relationship_raw,relationship,canonical_r,null_z,null_mean,null_std,T,D_features,cca_a_std,cca_b_std,cca_a_max_abs,cca_b_max_abs
V00_S0515_I00000376,naturalistic,familiar,familiar,0.8639004622136258,8.357542852885091,0.0033800795216191006,0.10296332281382778,2023,31,0.850311581837023,0.594801275338228,8.302573352588066,4.775658175094935
V00_S0515_I00000378,naturalistic,familiar,familiar,0.632992573901169,8.181188320871847,-0.0019740606955213737,0.07761300799992144,2124,31,0.6522478335748723,0.62886785326243,4.288728251018916,2.5746902149152664
V00_S0515_I00000503,naturalistic,familiar,familiar,0.7776708420761445,9.870163549006055,-0.006577246209767146,0.07945644308648635,2140,31,0.7727532707461642,0.5883291630911086,4.202630457850391,3.486693340234325
V00_S0521_I00000126,naturalistic,familiar,familiar,0.3514349333783841,5.148452381304944,0.010751385769724444,0.0661720304233073,8630,31,0.5339909568310826,0.4922814131203192,2.9773915511010784,3.683565388142901
V00_S0521_I00000130,naturalistic,familiar,familiar,0.583930030725868,10.33002512825281,-0.0075534919998239795,0.05725867220864484,9106,31,0.6839536541249516,0.4965280913809673,11.563501341590339,7.044424592851522
V00_S0521_I00000135,naturalistic,familiar,familiar,0.49575282902657314,6.955586379866972,-0.014578307139007693,0.07336996599492178,4740,31,0.65214252857472,0.5006802761008736,4.945862619876242,2.5226154337905116
V00_S0521_I00000309,naturalistic,familiar,familiar,0.42059842095578287,6.093597569244724,-0.006123945556107128,0.07002798620401518,6985,31,0.7853694763431583,0.8174886134735279,6.158340582392041,4.397185140569043
V00_S0521_I00000461,naturalistic,familiar,familiar,0.37209211793908925,6.271146802248422,0.007352312970908956,0.05816157976678341,12051,31,0.7688799126978284,0.6968289844178764,7.677721776930874,4.498502569447595
V00_S0521_I00000497,naturalistic,familiar,familiar,0.4797840191460533,7.489160346218949,0.005323995792368311,0.06335289958015461,7610,31,0.6388811681393611,0.5130784882294267,4.409912565684875,3.9913101086399383
V00_S0522_I00000481,naturalistic,familiar,familiar,0.6721171704367138,8.419619112905833,-0.009090170314115726,0.08090714456508555,4175,31,0.9130075447390754,0.9334399170576397,3.9500484367097437,4.594136853891117
V00_S0522_I00000488,naturalistic,familiar,familiar,0.4956517508229282,8.360925978919457,0.007434723914640878,0.058392698146023186,5026,31,0.7221762964094514,0.8218949036148941,4.476015926459931,5.499964154531332
V00_S0522_I00000495,naturalistic,familiar,familiar,0.4699612874328901,8.9138082671849,0.004481020133683113,0.05222013457624122,6480,31,0.8792500254662184,0.8404564581220905,17.114817762924304,8.524708698672116
V00_S0522_I00000514,naturalistic,familiar,familiar,0.8040026767277108,7.757812515537899,0.006264605803412481,0.10283028486787116,1140,31,0.47274838765531957,0.3782553160030976,2.0425718710570604,1.7133741027439995
V00_S0526_I00000129,naturalistic,familiar,familiar,0.7016406141595822,11.179304483474844,-0.00023729842591412392,0.06278368333405772,3599,31,0.7727336578633243,0.5824037814745385,8.492464033846243,6.158924972089856
V00_S0526_I00000130,naturalistic,familiar,familiar,0.49181489117287586,8.58820214734303,-0.0033121254869410348,0.0576519984235579,7930,31,0.6261909425903076,0.7734062286278899,10.73115877670905,6.945455165564513
V00_S0553_I00000128,naturalistic,familiar,familiar,0.8343569354463856,9.126621422900394,-0.0053300369994233494,0.09200414189843328,2182,31,0.4005201156072702,0.6675661141826905,3.5651601168518345,5.370897291444797
V00_S0553_I00000129,naturalistic,familiar,familiar,0.6382631752751589,9.374735671936579,-0.004140090877445041,0.0685249471167116,4313,31,0.6108855584651816,0.66642186970961,4.069784720589363,3.6204299139483296
V00_S0553_I00000130,naturalistic,familiar,familiar,0.7577998810967749,7.632321755683715,0.004745086134374906,0.09866654198659897,2253,31,0.3945226914988696,0.6606987822936177,2.921233935609998,4.040379377077631
V00_S0553_I00000307,naturalistic,familiar,familiar,0.7541542427425593,8.262275303445783,-0.0007523449236972974,0.09136788111519628,1697,31,0.27492038137814445,0.5165096195913758,1.2899341690046988,2.0794316864039204
V00_S0553_I00000462,naturalistic,familiar,familiar,0.6887318344578024,9.80833514941133,-0.001589975286147069,0.07038114004346403,2933,31,0.5630337576062632,0.47018107508272483,4.823464668628267,4.033797958586702
V00_S0554_I00000125,naturalistic,familiar,familiar,0.45306907246400846,6.36648926379824,0.0015218877549667258,0.07092561787179537,5444,31,0.6054068016017857,0.6469839046718879,3.1970380343224942,4.468994286892411
V00_S0554_I00000126,naturalistic,familiar,familiar,0.5979392452787433,10.030632082399823,-0.005390055037231825,0.060148682092986204,6673,31,0.6090507031808731,0.637379564421625,7.047612651150063,4.9215515204406595
V00_S0554_I00000129,naturalistic,familiar,familiar,0.6662401194372437,8.5338269039775,-0.00024999949865750937,0.07809979349654483,3405,31,0.5874510908556091,0.7792805626775547,3.6400036249943453,4.288832421780397
V00_S0554_I00000134,naturalistic,familiar,familiar,0.6537701605850904,7.402752586481559,0.00598509960086725,0.08750597205790282,3120,31,0.562413652142739,0.5068917756849769,2.8252718258109177,2.3690000332662358
V00_S0554_I00000135,naturalistic,familiar,familiar,0.7243109063633841,8.117601230915572,0.013436390870557343,0.08757199267013617,2184,31,0.6806040503416098,0.7603985848778322,2.9657203699514048,3.6233790504430625
V00_S0554_I00000307,naturalistic,familiar,familiar,0.4564947790515834,6.81598589524425,-0.0032716034680995852,0.06745412763258181,7019,31,0.4714480729017257,0.7260795542238319,2.9823526252513672,9.784878737423224
V00_S0554_I00000309,naturalistic,familiar,familiar,0.7423995356005473,11.199901510823976,0.0012761933566821165,0.06617230888393238,3679,31,0.9892943802507594,0.8778940807941941,13.989484321564436,7.889263141425124
V00_S0554_I00000462,naturalistic,familiar,familiar,0.5165225119675654,10.306238354010304,0.003946664455289645,0.04973452290794586,6120,31,0.31402168982799344,0.779943528651807,2.9224179771390393,9.25192456201742
V00_S0554_I00000497,naturalistic,familiar,familiar,0.5618499869316114,8.023413489733704,-0.005262502157622302,0.0706821965258151,4755,31,0.7126483310588657,1.007156825614371,4.598150851248915,6.373152653706546
V00_S0627_I00000135,naturalistic,familiar,familiar,0.5958873226669544,10.734144691054277,0.002221199807199795,0.05530632760656838,6106,31,0.7827301597005552,0.6953128469144029,12.39782536430595,12.80157332712852
V00_S0627_I00000371,naturalistic,familiar,familiar,0.3923187717150711,5.992450892975998,0.0016334408283550895,0.0651962507268361,6994,31,0.7160528544214073,0.8325224359434571,4.335408896611329,6.608340332464833
V00_S0627_I00000372,naturalistic,familiar,familiar,0.6076748039253238,9.85331541421521,0.008301992983218065,0.06082955693039124,5493,31,0.8669361317820221,0.44297115885209576,8.861181228688961,4.431935721900806
V00_S0627_I00000373,naturalistic,familiar,familiar,0.4026871216855888,6.8155577705765005,-0.009430771054334038,0.06046722903869736,7522,31,0.9602239805833592,0.6155133211964275,7.767309787001359,5.09480357836271
V00_S0627_I00000376,naturalistic,familiar,familiar,0.7831785032636747,9.727522678269906,-0.018656200129763767,0.08242948692215736,2070,31,0.7930515084290397,0.6266455129069615,8.567120793158786,6.106771503403236
V00_S0627_I00000377,naturalistic,familiar,familiar,0.6490832231331846,8.6114912278366,-0.005209163451867667,0.07597898775882805,3114,31,0.6735973805891609,0.5964442988099132,4.856951305235077,3.2077270403115543
V00_S0627_I00000378,naturalistic,familiar,familiar,0.6463084572150203,10.141157081136122,-0.0029661736650639352,0.06402372290316062,3718,31,0.7523956717722873,0.8892581368498206,4.955178675776254,7.658142151480338
